fecha_primeros_sintomas,Casos,Total
2020-02-22,activos,1
2020-02-23,activos,2
2020-02-24,activos,2
2020-02-25,activos,9
2020-02-26,activos,10
2020-02-27,activos,6
2020-02-28,activos,6
2020-02-29,activos,3
2020-03-01,activos,12
2020-03-02,activos,17
2020-03-03,activos,14
2020-03-04,activos,53
2020-03-05,activos,73
2020-03-06,activos,85
2020-03-07,activos,90
2020-03-08,activos,112
2020-03-09,activos,141
2020-03-10,activos,203
2020-03-11,activos,252
2020-03-12,activos,311
2020-03-13,activos,419
2020-03-14,activos,561
2020-03-15,activos,723
2020-03-16,activos,974
2020-03-17,activos,1210
2020-03-18,activos,1454
2020-03-19,activos,1710
2020-03-20,activos,2026
2020-03-21,activos,2261
2020-03-22,activos,2506
2020-03-23,activos,2809
2020-03-24,activos,3005
2020-03-25,activos,3179
2020-03-26,activos,3342
2020-03-27,activos,3403
2020-03-28,activos,3473
2020-03-29,activos,3491
2020-03-30,activos,3581
2020-03-31,activos,3547
2020-04-01,activos,3687
2020-04-02,activos,3770
2020-04-03,activos,3773
2020-04-04,activos,3839
2020-04-05,activos,3842
2020-04-06,activos,3943
2020-04-07,activos,4004
2020-04-08,activos,4080
2020-04-09,activos,4253
2020-04-10,activos,4325
2020-04-11,activos,4362
2020-04-12,activos,4308
2020-04-13,activos,4517
2020-04-14,activos,4660
2020-04-15,activos,4926
2020-04-16,activos,5192
2020-04-17,activos,5353
2020-04-18,activos,5502
2020-04-19,activos,5640
2020-04-20,activos,6189
2020-04-21,activos,6505
2020-04-22,activos,6964
2020-04-23,activos,7450
2020-04-24,activos,7943
2020-04-25,activos,8481
2020-04-26,activos,8923
2020-04-27,activos,10040
2020-04-28,activos,11145
2020-04-29,activos,12332
2020-04-30,activos,13788
2020-05-01,activos,15609
2020-05-02,activos,17459
2020-05-03,activos,19413
2020-05-04,activos,22361
2020-05-05,activos,24806
2020-05-06,activos,27237
2020-05-07,activos,29837
2020-05-08,activos,32353
2020-05-09,activos,34518
2020-05-10,activos,37018
2020-05-11,activos,40344
2020-05-12,activos,42290
2020-05-13,activos,43889
2020-05-14,activos,45298
2020-05-15,activos,46923
2020-05-16,activos,48245
2020-05-17,activos,49352
2020-05-18,activos,51493
2020-05-19,activos,52427
2020-05-20,activos,54726
2020-05-21,activos,55109
2020-05-22,activos,55420
2020-05-23,activos,55628
2020-05-24,activos,55906
2020-05-25,activos,57919
2020-05-26,activos,57319
2020-05-27,activos,57425
2020-05-28,activos,57828
2020-05-29,activos,57194
2020-05-30,activos,56829
2020-05-31,activos,54942
2020-06-01,activos,57293
2020-06-02,activos,56394
2020-06-03,activos,55985
2020-06-04,activos,55997
2020-06-05,activos,54900
2020-06-06,activos,54437
2020-06-07,activos,53373
2020-06-08,activos,53730
2020-06-09,activos,52685
2020-06-10,activos,52288
2020-06-11,activos,51969
2020-06-12,activos,49556
2020-06-13,activos,48960
2020-06-14,activos,48015
2020-06-15,activos,48337
2020-06-16,activos,47372
2020-06-17,activos,46821
2020-06-18,activos,46927
2020-06-19,activos,45580
2020-06-20,activos,45129
2020-06-21,activos,43734
2020-06-22,activos,43563
2020-06-23,activos,42408
2020-06-24,activos,41484
2020-06-25,activos,40953
2020-06-26,activos,39310
2020-06-27,activos,37884
2020-06-28,activos,36551
2020-06-29,activos,35200
2020-06-30,activos,34138
2020-07-01,activos,33724
2020-07-02,activos,33148
2020-07-03,activos,31967
2020-07-04,activos,30902
2020-07-05,activos,29911
2020-07-06,activos,29608
2020-07-07,activos,28862
2020-07-08,activos,28413
2020-07-09,activos,28141
2020-07-10,activos,27991
2020-07-11,activos,27020
2020-07-12,activos,25624
2020-07-13,activos,25565
2020-07-14,activos,25170
2020-07-15,activos,24925
2020-07-16,activos,24413
2020-07-17,activos,23846
2020-07-18,activos,23325
2020-07-19,activos,22688
2020-07-20,activos,22826
2020-07-21,activos,22309
2020-07-22,activos,22247
2020-07-23,activos,22396
2020-07-24,activos,21993
2020-07-25,activos,21521
2020-07-26,activos,20914
2020-07-27,activos,21415
2020-07-28,activos,21063
2020-07-29,activos,20936
2020-07-30,activos,21192
2020-07-31,activos,20729
2020-08-01,activos,20649
2020-08-02,activos,20286
2020-08-03,activos,20337
2020-08-04,activos,20304
2020-08-05,activos,20389
2020-08-06,activos,20772
2020-08-07,activos,20430
2020-08-08,activos,20062
2020-08-09,activos,19562
2020-08-10,activos,19723
2020-08-11,activos,19625
2020-08-12,activos,19470
2020-08-13,activos,19507
2020-08-14,activos,19180
2020-08-15,activos,18648
2020-08-16,activos,18112
2020-08-17,activos,18229
2020-08-18,activos,18280
2020-08-19,activos,18555
2020-08-20,activos,19179
2020-08-21,activos,18916
2020-08-22,activos,18545
2020-08-23,activos,18163
2020-08-24,activos,18653
2020-08-25,activos,18844
2020-08-26,activos,19379
2020-08-27,activos,19931
2020-08-28,activos,19945
2020-08-29,activos,19547
2020-08-30,activos,19096
2020-08-31,activos,19327
2020-09-01,activos,19599
2020-09-02,activos,20079
2020-09-03,activos,20615
2020-09-04,activos,20550
2020-09-05,activos,20133
2020-09-06,activos,19482
2020-09-07,activos,19681
2020-09-08,activos,19519
2020-09-09,activos,19745
2020-09-10,activos,20070
2020-09-11,activos,19632
2020-09-12,activos,18939
2020-09-13,activos,18204
2020-09-14,activos,18027
2020-09-15,activos,17656
2020-09-16,activos,17596
2020-09-17,activos,17835
2020-09-18,activos,17086
2020-09-19,activos,16489
2020-09-20,activos,16152
2020-09-21,activos,16565
2020-09-22,activos,16583
2020-09-23,activos,16968
2020-09-24,activos,17449
2020-09-25,activos,17554
2020-09-26,activos,17266
2020-09-27,activos,16958
2020-09-28,activos,17480
2020-09-29,activos,17772
2020-09-30,activos,18007
2020-10-01,activos,18247
2020-10-02,activos,17822
2020-10-03,activos,17373
2020-10-04,activos,16748
2020-10-05,activos,16797
2020-10-06,activos,16613
2020-10-07,activos,16781
2020-10-08,activos,17213
2020-10-09,activos,16735
2020-10-10,activos,16503
2020-10-11,activos,16085
2020-10-12,activos,15758
2020-10-13,activos,15895
2020-10-14,activos,16254
2020-10-15,activos,16698
2020-10-16,activos,16487
2020-10-17,activos,16046
2020-10-18,activos,15620
2020-10-19,activos,15762
2020-10-20,activos,15721
2020-10-21,activos,15754
2020-10-22,activos,15995
2020-10-23,activos,16044
2020-10-24,activos,15387
2020-10-25,activos,14802
2020-10-26,activos,14859
2020-10-27,activos,14934
2020-10-28,activos,15241
2020-10-29,activos,15397
2020-10-30,activos,14997
2020-10-31,activos,14540
2020-11-01,activos,14249
2020-11-02,activos,14705
2020-11-03,activos,14820
2020-11-04,activos,15091
2020-11-05,activos,15397
2020-11-06,activos,15176
2020-11-07,activos,14771
2020-11-08,activos,14334
2020-11-09,activos,14741
2020-11-10,activos,14957
2020-11-11,activos,15318
2020-11-12,activos,15543
2020-11-13,activos,15148
2020-11-14,activos,14797
2020-11-15,activos,14441
2020-11-16,activos,14684
2020-11-17,activos,14741
2020-11-18,activos,14989
